location,size,total_sqft,bath,price
Marathahalli,2 BHK,1071,2,52.25
Koramangala,2 BHK,1325,2,119
Malleshwaram,7 Bedroom,3000,4,900
5th Phase JP Nagar,3 BHK,1400,2,88
Tumkur Road,2 BHK,1246,2,82
Sarjapur,2 BHK,1215,2,40
Munnekollal,2 BHK,1200,2,49.5
Kurubarahalli,4 Bedroom,450,3,53
Kodigehaali,2 BHK,1200,2,60
Kaval Byrasandra,2 BHK,945,2,50
Benson Town,4 BHK,4460,5,650
Hormavu,2 BHK,1175,2,52
Whitefield,2 BHK,920,2,63
Hosakerehalli,4 BHK,3024,5,350
Bidadi,2 Bedroom,1600,2,110
Sanjay nagar,4 Bedroom,750,2,110
Sector 4 HSR Layout,4 Bedroom,2400,4,700
Bhagyalakshmi Avenue,2 BHK,955,1,34.01
Ardendale,3 BHK,1750,3,100
Uttarahalli,3 BHK,1425,2,64
Basavangudi,3 BHK,2150,3,265
Whitefield,2 BHK,1165,2,40.5
Kaggadasapura,2 BHK,1050,2,48
Cholanayakanahalli,3 BHK,1370,2,75
Electronic City,3 BHK,1374,2,72
Harlur,3 BHK,1754,3,124
Kothanur,3 BHK,1847,3,110
Ambedkar Nagar,3 BHK,1850,4,139
Chikka Tirupathi,3 Bedroom,3297,3,135
Doddakannelli,2 BHK,1187,2,45
Bommasandra Industrial Area,3 BHK,1400,2,40.44
Kengeri Hobli,3 Bedroom,600,2,30
Chamrajpet,2 BHK,1350,2,180
Doddaballapur,3 Bedroom,3000,2,120
Thanisandra,1 BHK,693,1,34.3
Dairy Circle,3 BHK,1980,3,224
KR Puram,2 BHK,1021,2,48
Thigalarapalya,2 BHK,1165,2,95
Horamavu Agara,3 BHK,1756,3,92
Bharathi Nagar,3 BHK,1739,3,105
Varthur,2 BHK,1280,2,65
Marathahalli,2 BHK,1215,2,58.86
Munnekollal,2 BHK,950,2,46.5
Kengeri,3 BHK,1082,2,49
7th Phase JP Nagar,2 BHK,1050,2,42
Devanahalli,2 BHK,1080,2,53.35
Arekere,2 BHK,1100,2,55
Ardendale,4 Bedroom,3200,4,205
Sarjapur  Road,2 BHK,1311,2,78
Raja Rajeshwari Nagar,3 BHK,1608,3,67.98
Begur Road,2 BHK,1160,2,36
Whitefield,2 BHK,1170,2,71
Kengeri,2 BHK,1155,2,40.6
Hebbal,3 BHK,1255,2,77.68
Rayasandra,2 BHK,1065,2,44.95
Neeladri Nagar,1 BHK,674,1,21
Ambedkar Nagar,3 BHK,1936,4,126
Sarakki Nagar,3 BHK,2289,3,260
Abbaiah Reddy Layout,2 BHK,1100,2,38.45
Ramagondanahalli,3 BHK,2257,4,157
Nagarbhavi,2 BHK,1055,2,55
Raja Rajeshwari Nagar,3 BHK,1530,3,51.87
Dinnur,3 BHK,1700,3,97
Raja Rajeshwari Nagar,3 BHK,1575,2,78
Frazer Town,3 BHK,3500,4,330
Rajiv Nagar,2 BHK,1263,2,93.32
KR Puram,3 BHK,1255 - 1863,3,69.315
Kengeri Satellite Town,2 BHK,1043,2,65
Hennur,2 BHK,1255,2,53.5
JP Nagar,2 BHK,1300 - 1405,2,93.865
Chandapura,1 BHK,590,1,13.57
Yelahanka,3 Bedroom,1550,3,120
Sarjapur  Road,3 BHK,1220,3,56
Rustam Bagh Layout,3 BHK,1900,3,160
Vasantha Vallabha Nagar,3 BHK,1360,3,55
Vyalikaval,2 BHK,1100,2,75
8th Phase JP Nagar,3 BHK,1455,3,73.31
KR Puram,2 BHK,1035,2,40.5
Harlur,2 BHK,1152,2,69
Bellandur,2 BHK,1299,2,82
Sarjapur  Road,3 BHK,1157,2,75
Rachenahalli,2 BHK,1050,2,52.5
Pai Layout,2 BHK,1050,2,40
Vittasandra,2 BHK,1246,2,67.4
"Sarjapur Road, ",3 BHK,1929,3,115
Hennur,2 BHK,1285,2,60
Margondanahalli,3 Bedroom,1200,2,65
"Banaswadi, ",4 BHK,3161,4,214
BTM 2nd Stage,3 BHK,1850,3,170
Sompura,3 BHK,1025,2,37
Malleshwaram,2 BHK,1124,3,80
Balagere,2 BHK,1012,2,54.59
Giri Nagar,7 BHK,4500,5,250
8th Phase JP Nagar,2 BHK,871,2,55
Chinnapanahalli,2 BHK,1020,2,40
Rachenahalli,3 BHK,1550,3,73.5
Anand Nagar,3 Bedroom,3515,3,420
Akshaya Nagar,3 BHK,1410,2,80
Chikka Tirupathi,4 Bedroom,3500,5,150
Whitefield,2 BHK,1118,2,75
Thanisandra,2 BHK,1098,2,68
Kanakapura,2 BHK,1130,2,45.2
Sarjapur  Road,2 BHK,1145,2,75
Kadugodi,3 Bedroom,950,3,80
Balaji Gardens Layout,2 BHK,1051,2,33
Thavarekere,7 Bedroom,600,7,108
Marathahalli,2 BHK,1102,2,53.67
Jalahalli,2 BHK,1478,2,125
Chandapura,1 BHK,645,1,16.45
Hebbal,2 BHK,823,2,50.63
Abbigere,2 BHK,880,2,35
KR Puram,4 Bedroom,600,5,75
Budigere,3 BHK,1991,4,100
TC Palaya,3 BHK,1100,3,50
Gubbalala,3 BHK,1745,3,115
HAL 2nd Stage,2 BHK,1226,3,135
Begur Road,3 Bedroom,680,4,68
 Devarabeesana Halli,2 BHK,1100,2,70
Banashankari Stage VI,4 Bedroom,1200,4,195
5th Phase JP Nagar,2 BHK,1450,2,58
Singasandra,4 BHK,3366,4,120
Sahakara Nagar,2 BHK,1150,2,54
Kanakpura Road,3 BHK,1843,3,95.84
Banashankari Stage VI,4 Bedroom,2200,4,195
Bommanahalli,2 BHK,1090,3,44
Kaggadasapura,2 BHK,1132,2,42
Hulimavu,2 BHK,1375,2,80
7th Phase JP Nagar,4 Bedroom,1500,5,220
Thanisandra,1 BHK,760,1,50.3
Kaggadasapura,2 BHK,1180,2,65
Jigani,2 BHK,918,2,45
Rachenahalli,5 Bedroom,600,5,50
Margondanahalli,2 Bedroom,1200,1,53
HSR Layout,2 BHK,1372,2,61
1st Block HRBR Layout,7 Bedroom,2400,7,355
Ardendale,3 BHK,1728,3,95
Malleshwaram,3 BHK,2215,3,275
BTM 2nd Stage,2 BHK,1200,2,80
6th Phase JP Nagar,2 BHK,1280,2,56
Hulimavu,4 Bedroom,800,4,110
Byrasandra,3 BHK,1455,2,56
 Rachenahalli,1 RK,440,1,28
Kanakpura Road,3 Bedroom,1500,3,97
Whitefield,3 BHK,1800,3,110
Mysore Road,3 BHK,1525,3,96
Rachenahalli,2 BHK,1204,2,38.5
Old Madras Road,2 BHK,1225,2,53.55
Kalyan nagar,6 Bedroom,800,6,98
Bannerghatta Road,3 BHK,1650,3,122
Electronic City,3 BHK,880,2,18
Bikasipura,4 Bedroom,4200,4,255
Tippenahalli,2 Bedroom,1200,2,55
Sarjapur  Road,4 Bedroom,1152,4,230
9th Phase JP Nagar,2 BHK,1005,2,42
Whitefield,3 BHK,1562,3,103
Devanahalli,4 Bedroom,5000,5,395
Babusapalaya,6 Bedroom,810,5,95
Ramamurthy Nagar,2 BHK,1200,2,42
Kasavanhalli,3 BHK,1555,3,82.5
KR Puram,2 Bedroom,1550,2,71
Whitefield,2 BHK,1190,2,67
Chikkalasandra,2 BHK,1070,2,50
Sarjapur  Road,,1200 - 2400,,28.785
Jalahalli East,2 BHK,1020,2,42.48
Yelahanka,3 BHK,1610,3,115
Prestige Sunrise,1 BHK,700,1,41
Akshaya Vana,3 BHK,1300,2,49
Hebbal,2 BHK,1420,2,123
Vidyaranyapura,9 Bedroom,1200,9,100
Hebbal,3 BHK,1069,3,65.4
Marathahalli,3 BHK,1900,3,123
Old Airport Road,2 BHK,1655,2,97.65
Uttarahalli,2 BHK,1155,2,40.42
Sarjapur  Road,3 BHK,1300,2,70
Electronic City,2 BHK,1100,2,45
Doddathoguru,2 BHK,1030,2,42
Vittasandra,2 BHK,2105,2,70.2
Bhoganhalli,3 BHK,1700,3,126
Jakkur,3 BHK,1760,3,139
Kadugodi,9 Bedroom,6200,9,200
1st Stage Indira Nagar,2 BHK,1400,2,67
Srigandada Kaval,2 BHK,1200,2,53
Bannerghatta Road,2 BHK,912,2,55
Whitefield,2 BHK,1102,2,48
Channasandra Layout,3 BHK,1535,3,55
Haralur Road,2 BHK,1243,2,46
Jigani,2 BHK,918,2,63.2
Begur Road,3 BHK,1500,2,70
Mathikere Extension,3 Bedroom,3000,3,250
Kasavanhalli,3 BHK,1476,3,89
Mysore Road,2 BHK,1200,2,65
Vijayanagar,1 BHK,606,1,34.78
Viswajit Layout,2 BHK,1100,2,61
Garudachar Palya,3 BHK,1295,2,59.5
Neeladri Nagar,1 BHK,527,1,26
OMBR Layout,2 BHK,1300,2,80
Bommanahalli,3 Bedroom,680,4,68
Adityanagar,1 Bedroom,1260,1,41
Koramangala,2 BHK,1140,2,75.2
BDS Layout,1 Bedroom,1500,1,37.5
Whitefield,3 BHK,2321,4,128
Sarjapur  Road,2 BHK,1390,2,62
Sarjapur  Road,3 BHK,1725,3,90
Hebbal,4 BHK,3067,4,310
Hennur Road,3 BHK,1186,2,63
Kanakpura Road,2 BHK,1230,2,85
 Mysore Highway,1 BHK,600,1,17
Yeshwanthpur,3 BHK,1313,3,96
TC Palaya,2 Bedroom,900,2,55
Ambalipura,2 BHK,1250,2,66.25
HBR Layout,9 Bedroom,1200,6,280
Binny Pete,1 BHK,660,1,54
Basavangudi,2 BHK,1036,2,105
Koramangala,4 BHK,2700,4,450
Old Madras Road,2 BHK,1100,2,70
Devanahalli,,1500 - 2400,,46.8
BTM 2nd Stage,4 Bedroom,1500,2,450
Singasandra,4 Bedroom,525,5,56
Electronics City Phase 1,2 BHK,1015,2,56
Gottigere,1 Bedroom,812,1,26
Narayana Nagar 1st Block,3 BHK,1360,2,65
Nehru Nagar,3 BHK,2167,3,170
Raja Rajeshwari Nagar,2 BHK,1200,2,35
Gopalkrishna Nagar,2 BHK,1165,2,75
BTM 2nd Stage,2 BHK,1274,2,70
Raja Rajeshwari Nagar,2 BHK,1151,2,39.02
Vidyaranyapura,6 Bedroom,1060,6,110
Thubarahalli,3 BHK,1626,2,120
Banashankari Stage V,2 BHK,1035,2,35.77
Shanthi Layout,3 Bedroom,1272,4,75
Jeevan bima nagar,2 BHK,965,2,45
Esther Enclave Layout,5 Bedroom,1600,5,140
Kothannur,2 BHK,1070,2,42.79
Raja Rajeshwari Nagar,3 BHK,1570,2,65
Volagerekallahalli,2 BHK,117Sq. Yards,2,38
Keerthi Layout,2 BHK,780,2,25
Ganga Nagar Extension,3 BHK,1000,2,65
9th Phase JP Nagar,4 Bedroom,1200,3,188
Tindlu,7 Bedroom,7500,7,400
5th Phase JP Nagar,3 BHK,1700,2,100
Haralur Road,3 BHK,1850,3,110
Kereguddadahalli,2 BHK,904,2,30
Shikaripalya,2 BHK,1121,2,43.72
7th Phase JP Nagar,3 BHK,1385,2,58.17
Sahakara Nagar,2 BHK,1270,2,69.85
Kanakpura Road,3 BHK,1450,3,56
Huttanahalli,3 Bedroom,2400,4,325
Mahadevpura,1 BHK,730,1,35
Raja Rajeshwari Nagar,3 BHK,1580,3,53.56
Thanisandra,2 BHK,1111,2,50
Kengeri,4 Bedroom,1125,2,88
Varthur,2 BHK,977,2,36
Gunjur Palya,2 BHK,674,1,19.9
Nagarbhavi,3 Bedroom,600,3,83
Sarjapur,4 Bedroom,2540,4,115
Jakkur,2 BHK,1290,2,100
Kumaraswami Layout,3 Bedroom,600,3,98
Abbigere,2 BHK,795,2,32.54
Kanakpura Road,2 BHK,700,1,35
Ambedkar Colony,2 BHK,1463,1,142
Vijayanagar,3 Bedroom,1000,3,140
Reliable Woods Layout,3 BHK,1306,2,58
4th T block Jayanagar,3 BHK,2401,3,185
Bommenahalli,4 Bedroom,1670,3,135
Jayanagar,3 BHK,1875,2,235
Marsur,3 Bedroom,1200,3,90
Dodda Nekkundi,3 BHK,1804,3,121
1st Phase JP Nagar,3 BHK,2065,4,210
Hoskote,3 BHK,1225,3,40
Thanisandra,2 BHK,934 - 1437,2,58.68
Bellandur,2 BHK,900,2,56
Binny Pete,2 BHK,1350,2,91
Kaggalipura,1 BHK,700,1,36
Mysore Road,2 BHK,980 - 1030,2,35.175
Poorna Pragna Layout,2 BHK,1160,2,46.39
Hennur Road,3 BHK,1680,3,99.27
LB Shastri Nagar,2 BHK,1043,2,55
Hoskote,4 Bedroom,1200,4,120
Hebbal,2 BHK,1040,2,46
Tindlu,3 BHK,1357,2,65
Nayandanahalli,7 Bedroom,1600,7,104
Vibhutipura Extension,2 BHK,1225,2,47
Sunkadakatte,9 Bedroom,1500,6,80
Yelachenahalli,2 BHK,1130,2,40
Basavangudi,4 Bedroom,2500,4,150
Sultan Palaya,3 BHK,1700,3,120
Doddathoguru,3 BHK,1549,3,65
Yeshwanthpur,2 BHK,1400,2,100
Dodda Nekkundi,2 BHK,1080,2,50
Ulsoor,2 BHK,1180,2,100
Chandra Layout,7 Bedroom,780,7,150
Domlur,3 BHK,1800,3,150
Haralur Road,2 BHK,1225,2,67.38
Chandra Layout,1 BHK,890,1,75
Abbigere,2 BHK,1005,2,39.59
Whitefield,2 BHK,1320,2,95
Anandapura,4 BHK,1475,2,50
Kudlu Gate,3 BHK,1564 - 1850,,99.745
Hagadur,2 BHK,1110,2,51
Popular Colony,2 Bedroom,1300,2,54
Vajarahalli,5 Bedroom,600,3,86
Electronic City,2 BHK,1128,2,65.35
Jakkur,2 BHK,1452.19,2,100
8th block Koramangala,3 Bedroom,2400,3,290
Banashankari,3 BHK,2600,4,135
Sarakki Nagar,3 BHK,2500,4,325
Sanjay nagar,2 BHK,630,1,35
Hosa Road,2 BHK,1243,2,48.5
Soundarya Layout,2 BHK,960,2,32
"Banashankari 6th Stage ,Subramanyapura",3 BHK,1690,3,100
Whitefield,2 BHK,735,2,35
Banaswadi,2 BHK,1365,2,73
Rajaji Nagar,5 BHK,2849,5,300
Hebbal,2 BHK,1420,2,99.39
Somasundara Palya,3 BHK,1570,3,68
Bisuvanahalli,2 BHK,850,1,32
7th Phase JP Nagar,3 BHK,1575,2,110
Thigalarapalya,2 BHK,1418,2,104
Uttarahalli,2 BHK,1050,2,42
Hennur Road,2 BHK,1065,2,42.6
Ulsoor,3 BHK,1340,3,90
Yelahanka New Town,3 BHK,1610,3,92
Electronic City Phase II,2 BHK,1160,2,33.5
Kudlu,2 BHK,1092,2,44
Parappana Agrahara,2 BHK,1194,2,47
Yelahanka,3 BHK,1455,3,61.5
Abbigere,1 BHK,734,1,19.82
Samethanahalli,2 BHK,799,2,38
Whitefield,3 BHK,1896,3,75
Ardendale,2 BHK,1100,2,48
Bellandur,2 BHK,1350,2,79
Amarjyothi Colony,3 BHK,1355,3,61
Electronic City,2 BHK,1128,2,65
Pattanagere,2 Bedroom,1350,2,90
Cunningham Road,3 BHK,3875,3,864
Kasavanhalli,3 BHK,1493,3,82
8th Phase JP Nagar,2 BHK,1098,2,43.91
Banashankari,3 BHK,1900,2,170
Dollars Layout,3 BHK,1460,3,88
Frazer Town,3 BHK,2350,4,285
Horamavu Banaswadi,5 Bedroom,1600,5,140
Varthur,2 BHK,1091,2,32
Yelahanka,2 BHK,1180,2,42
Kanakpura Road,2 BHK,1366,3,76.85
RMV Extension,3 BHK,1685,3,95
Koramangala,2 BHK,1260,2,100
Whitefield,3 Bedroom,3010,3,200
Ramamurthy Nagar,3 Bedroom,1330,4,140
Mallasandra,2 Bedroom,1200,2,130
Whitefield,2 BHK,1346,2,96.17
Chandapura,1 BHK,630,1,13.86
Sarjapur  Road,3 BHK,1446 - 1506,,98.94
7th Phase JP Nagar,3 BHK,1850,3,140
Frazer Town,5 Bedroom,2350,2,423
Electronic City,2 BHK,755,1,34
Basaveshwara Nagar Yelahanka,5 Bedroom,800,5,98
Parappana Agrahara,2 BHK,1194,2,46
Whitefield,3 BHK,3850,5,316
Hebbal,4 BHK,4235,4,365
Kurubarahalli,1 Bedroom,800,1,52
Rachenahalli,3 BHK,2250,3,195
Vijayanagar,2 BHK,1352,2,68
Thanisandra,3 BHK,2002,3,112
Bileshivale,4 Bedroom,4000,5,280
Kaval Byrasandra,2 BHK,1060,2,45
Kanakpura Road,3 BHK,1419.59,2,59
Raja Rajeshwari Nagar,2 BHK,1196,2,51.15
Electronic City,3 BHK,1220,2,35.24
Electronics City Phase 1,3 BHK,1595,3,75
Banashankari,2 BHK,1260,2,75
Hebbal,2 BHK,1100,2,47
Frazer Town,2 BHK,1550,2,140
ISRO Layout,2 BHK,1180,2,52
Electronic City,4 Bedroom,4000,5,150
Akshaya Nagar,3 BHK,1662,3,85
Hennur,2 BHK,1285,2,60
Akshaya Nagar,4 Bedroom,1080,4,75
Ambedkar Nagar,3 BHK,1862,3,119
Raja Rajeshwari Nagar,2 BHK,1419,2,48
Whitefield,3 BHK,1410,3,43.71
Raja Rajeshwari Nagar,3 BHK,1560,2,62.4
Chikkabettahalli,5 Bedroom,1100,4,150
Thanisandra,3 BHK,1634,3,78
Ambedkar Nagar,5 Bedroom,5530,5,627
Whitefield,3 BHK,1150,2,44
Ashirvad Colony,2 BHK,1100,2,53
Yelahanka,3 BHK,1616,3,65
Nagavarapalya,2 BHK,1392,2,99
Jakkur,3 BHK,1798,3,120
Babusapalaya,3 BHK,1675,3,75
Bhuvaneswari Nagar,2 Bedroom,792,2,70
Varanasi,5 BHK,2000,4,103
Hongasandra,7 Bedroom,600,7,89
Hebbal,3 BHK,1700,3,124
Hulimavu,2 BHK,1248,2,69
Kalkere,2 BHK,1147,2,54
Sultan Palaya,2 BHK,1100,2,40
Vijayanagar,3 BHK,1527,3,115
Shantiniketan Layout,5 Bedroom,2400,5,235
Kanakpura Road,1 BHK,525,1,25
Kaggadasapura,2 BHK,1100,2,58
Seegehalli,2 BHK,1118,2,37.5
Kanakapura,3 BHK,1476,3,75
Gopal Reddy Layout,3 BHK,2100,3,75
Roopena Agrahara,3 BHK,1215,2,46.5
Ambalipura,2 BHK,1332,2,79
Hennur Road,2 BHK,1350,2,49
Kothannur,4 Bedroom,600,4,81
Haralur Road,2 BHK,1243,2,46
NGR Layout,2 BHK,1105,2,49.73
Padmanabhanagar,3 Bedroom,1500,2,200
Kasavanhalli,2 BHK,1200,2,50
Ramagondanahalli,2 BHK,1251,2,47.4
Kambipura,2 BHK,883,2,45
Pai Layout,3 BHK,1400,2,67
Rajaji Nagar,3 BHK,1800,3,260
Hegde Nagar,3 BHK,1703,3,113
NRI Layout,5 BHK,2500,5,130
Varthur,3 BHK,1250,3,71
Jigani,2 BHK,933,2,43
sankeswari,1 Bedroom,461.82,1,31.7
Brookefield,2 BHK,1262,2,75
Yelahanka,2 BHK,915,2,48
Panathur,3 BHK,1370,2,61.5
Malleshpalya,2 BHK,1210,2,55
Kodihalli,3 BHK,2392,4,260
T c palya,3 Bedroom,1500,2,85
Govindraja Nagar,2 BHK,1065,2,50
Rajaji Nagar,4 BHK,3100,4,570
Ramamurthy Nagar,3 BHK,1515,3,65
Sarjapura - Attibele Road,4 Bedroom,1800,4,110
Thanisandra,3 BHK,1445,2,40.31
Uttarahalli,3 BHK,1300,2,55
Vijayanagar,2 BHK,989,2,60
Jakkur,2 BHK,1300,2,85
Chandapura,3 BHK,1185,2,30.22
Battarahalli,5 Bedroom,1350,3,110
Marathahalli,2 BHK,1045,2,60
Virat Nagar,2 BHK,1205,2,42.18
Chennammanakere Achukattu,2 BHK,1260,2,75
Devanahalli Road,5 Bedroom,1320,5,199
Ulsoor,3 BHK,1500,2,125
Bommanahalli,3 BHK,1250,2,42.5
"Maragondana Halli, kr puram, old madras road",2 BHK,1199,2,50
Hennur Road,2 BHK,1385,2,83.09
Dhanalakshmi Layout,6 Bedroom,1222,5,250
Lakshminarayana Pura,2 BHK,1149,2,75
Sarjapur  Road,3 BHK,2180,3,170
TC Palaya,8 Bedroom,1200,7,110
Jp nagar 8th Phase .,10 BHK,12000,12,525
Thurahalli,5 Bedroom,1200,5,195
Hulimavu,3 BHK,1818,3,135
Volagerekallahalli,2 BHK,1070,2,33
Rajaji Nagar,3 BHK,1640,3,241
Nagarbhavi,3 BHK,1350,2,54.6
Chandapura,2 BHK,630,1,27
Hoodi,2 BHK,1430,2,113
Nagavara,3 BHK,2430,4,180
Nobo Nagar,6 Bedroom,1500,7,220
Sarjapur  Road,2 BHK,1084,2,55
Hennur Road,3 BHK,1186,2,56
Kengeri,2 BHK,1255,2,50
Haralur Road,4 BHK,3400,5,240
Hosa Road,3 BHK,1541,3,69.84
Iblur Village,4 BHK,3596,5,282
Raja Rajeshwari Nagar,2 BHK,1295,2,70
Kasavanhalli,3 Bedroom,1000,4,110
Sanjeevini Nagar,3 BHK,2820,3,285
7th Phase JP Nagar,3 BHK,1370,2,54.79
Electronic City,2 BHK,1100,2,40
Hebbal,4 BHK,4772,6,510
Rajaji Nagar,2 BHK,1370,2,170
7th Phase JP Nagar,3 BHK,1370,2,54.79
JP Nagar,2 BHK,1200,2,62
Gunjur,4 Bedroom,2000,3,95
9th Phase JP Nagar,4 BHK,3500,4,300
2nd Stage Nagarbhavi,5 Bedroom,1200,4,240
Kengeri,4 Bedroom,2400,5,253
Sarjapur  Road,3 BHK,1220,3,62
Kanakapura Road,3 Bedroom,1950,3,130
Somasundara Palya,2 BHK,1178,2,73
Dasanapura,3 BHK,1286,3,61.44
Begur Road,2 BHK,1160,2,42
Jigani,2 BHK,918,2,55
Electronic City,3 BHK,1563,3,91.84
Govindpura,2 BHK,1326,2,62.17
3rd Block Jayanagar,3 BHK,1350,2,140
Hebbal,4 BHK,3960,5,386
Begur Road,2 BHK,1240,2,39.06
Kaggadasapura,2 BHK,1325,2,50
Sonnenahalli,2 BHK,1100,2,44
Cunningham Road,3 BHK,3875,3,800
Gollarapalya Hosahalli,3 BHK,1605,3,50
Hennur Road,5 BHK,5600,5,515
Somasundara Palya,2 BHK,1260,2,60
Hoodi,3 BHK,1553,3,83.09
Whitefield,2 BHK,1280,2,52
Hebbal,3 BHK,1550,2,75
Arekere,3 BHK,1445,2,125
Murugeshpalya,3 BHK,1550,3,74
Electronics City Phase 1,3 BHK,1515,2,80.91
Hosa Road,3 BHK,1332,2,86.12
Electronic City,3 BHK,1652,3,70
Hegde Nagar,3 BHK,1570,3,105
Sarjapur  Road,4 Bedroom,5400,4,725
Sector 2 HSR Layout,1 BHK,794,1,60
Seegehalli,3 Bedroom,1200,2,62
7th Phase JP Nagar,4 Bedroom,3600,3,410
Hosakerehalli,3 Bedroom,1200,3,175
JP Nagar,4 BHK,1650,3,220
Chandra Layout,4 Bedroom,600,2,85
HRBR Layout,3 BHK,2800,3,250
Sarjapur  Road,3 BHK,1750,3,110
Hebbal,2 BHK,1053,2,48
Kanakpura Road,3 BHK,1100,3,53
Kadubeesanahalli,3 BHK,1665,3,70
Outer Ring Road East,4 Bedroom,4051,4,345
Malleshwaram,4 Bedroom,5500,5,1500
Bommasandra,3 BHK,1447,3,80
Balagere,2 BHK,1012,2,75
Malleshpalya,3 BHK,1900,3,60
Narayanapura,2 BHK,1308,2,92.66
Green Glen Layout,4 BHK,3250,4,230
Hormavu,1 BHK,1351,2,53
Electronic City,2 BHK,1000,2,22
J P Nagar 7th Phase Ramayya City,4 Bedroom,1200,4,350
Gunjur,2 BHK,1140,2,49.11
Jakkur,4 BHK,2249.81 - 4112.19,4,260.5
Uttarahalli,3 BHK,1250,2,55
Kanakapura,3 BHK,1290,3,45.15
Ambedkar Nagar,2 BHK,1424,2,90
Garudachar Palya,3 BHK,1320,2,60.6
Akshaya Nagar,3 BHK,1662,3,85.5
Shanthala Nagar,5 BHK,8321,5,2700
Begur Road,2 BHK,1200,2,45
Koramangala,3 BHK,1975,3,210
Garudachar Palya,3 BHK,1295,2,59.5
Battarahalli,3 BHK,1777,3,100
Kadugodi,3 BHK,1900,3,108
Anandapura,3 BHK,1576,3,59.1
Sompura,2 BHK,1020,2,41
Green Domain Layout,3 BHK,2100,3,170
Raja Rajeshwari Nagar,1 BHK,648,1,31.75
Neeladri Nagar,3 BHK,1167,2,38
Vyalikaval,7 Bedroom,1000,7,160
Hoodi,2 BHK,1220,2,50.89
Kogilu,3 BHK,2350,5,327
Vittasandra,2 BHK,1259,2,67.4
Gottigere,4 Bedroom,2000,4,82
8th Phase JP Nagar,3 BHK,1800,3,80
Cleveland Town,3 BHK,1991,3,160
Bannerghatta,3 BHK,1665,3,110
"Hoodi Circle, ",2 BHK,1234,2,61
Mysore Road,3 BHK,1340,2,64.31
Banashankari,2 BHK,1170,2,46.79
Electronics City Phase 1,2 BHK,995,2,46
Old Airport Road,2 BHK,1075,2,60
Electronic City,2 BHK,1025,2,54.5
Rachenahalli,3 BHK,2721,3,113
Thanisandra,3 BHK,2000,3,99
Whitefield,4 BHK,2500,4,155
Mallasandra,2 BHK,1325,2,70
Kadugodi,2 BHK,1314,2,68.2
Kanakpura Road,3 BHK,2265,3,136
7th Phase JP Nagar,7 Bedroom,4800,7,170
Yelahanka,2 BHK,1026,2,41
Syndicate Bank Colony,3 BHK,1200,3,66
Kada Agrahara,3 BHK,2220,4,65
KR Puram,2 BHK,1070 - 1315,2,51.22
Hebbal,2 BHK,1420,2,99.39
Sarjapur  Road,3 BHK,1888,4,95
JP Nagar,2 BHK,1300,2,90.87
Rajaji Nagar,2 BHK,1216,2,97.16
"Off Sarjapur road, ",4 Bedroom,3000,4,342
Begur,3 BHK,1559,3,63
Harlur,2 BHK,1290,2,87
M C Layout,6 Bedroom,2400,6,245
Whitefield,1 BHK,905,1,55
Nanjappa Layout,2 BHK,1069,2,55
Sarjapura - Attibele Road,2 BHK,829,2,22.8
Koramangala,2 BHK,1900,2,200
Dodda Banaswadi,5 Bedroom,3040Sq. Meter,5,140
Sarjapur  Road,3 BHK,1300,3,60
Channasandra,2 BHK,1115,2,33.45
Rajaji Nagar,3 BHK,2409,3,360
Ambedkar Nagar,3 BHK,2150,4,125
Marathahalli,3 BHK,1305,2,69
Kanakpura Road,2 BHK,1252,2,56.32
Hosakerehalli,5 Bedroom,2400,5,250
Whitefield,2 Bedroom,1200,2,46.13
Koramangala,3 BHK,1750,3,130
Electronic City Phase II,2 BHK,545,1,35
BEL Layout,2 Bedroom,1375,2,105
Subramanyapura,2 BHK,1313,2,66.5
Attibele,4 Bedroom,3640,4,275
Akshayanagara East,3 BHK,1693,3,108
JCR Layout,2 BHK,1160,2,41.75
Sri Kanteshwara Nagar,3 Bedroom,1200,3,200
Subramanyapura,3 BHK,1255,2,79
KR Puram,4 Bedroom,1000,4,75
Bellari Road,2 BHK,900,2,45
Yelahanka New Town,3 BHK,1700,3,90
Indira Nagar,3 BHK,1875,3,180
Uttarahalli,3 BHK,1700,3,88
Harlur,3 BHK,1749,3,115
Dasanapura,2 Bedroom,1500,3,65
Varanasi,2 BHK,1175,2,48
Akshaya Nagar,2 BHK,1280,2,60
Abbaiah Reddy Layout,2 BHK,1200,2,50
Ramagondanahalli,3 BHK,1610,2,115
Electronic City,2 BHK,1070,2,46
TC Palaya,2 Bedroom,1200,2,66
9th Phase JP Nagar,2 BHK,1127,2,50
Indira Nagar,2 BHK,1210,2,102
Jyothi Nagar,2 BHK,600,2,23
Thigalarapalya,4 BHK,4190,4,380
Tata Nagar,2 BHK,1364,2,70
Whitefield,4 BHK,2268,3,146
RK Layout 2nd Stage,3 BHK,1150,2,77.5
Tirumanahalli,2 BHK,1146,2,39.5
Magadi Road,2 BHK,1345,2,55
Mylasandra,2 BHK,1110,2,41
Kengeri,2 BHK,750,2,36
Motappa Layout,2 BHK,1156,2,49.5
Pattandur Agrahara,2 BHK,1247,2,59.8
Mangammanapalya,2 BHK,1058,2,60
Kaggalipura,2 BHK,950,2,48
Vasanthapura,2 BHK,420,2,35
BTM 1st Stage,4 Bedroom,600,2,90
Vijayanagar,3 BHK,1520,2,103
Marathahalli,2 BHK,1215,2,58.86
